date,amount,category,description
01/01/2025,594.5,Income,Freelance
01/01/2025,287.09,Expense,Healthcare
07/01/2025,296.36,Expense,Rent
08/01/2025,791.28,Income,Salary
10/01/2025,288.68,Expense,Entertainment
12/01/2025,31.26,Expense,Groceries
15/01/2025,72.56,Expense,Utilities
24/01/2025,112.64,Expense,Education
27/01/2025,162.86,Expense,Groceries
30/01/2025,261.4,Expense,Utilities
02/02/2025,256.31,Expense,Transport
04/02/2025,237.41,Expense,Utilities
07/02/2025,293.22,Expense,Utilities
16/02/2025,392.79,Income,Bonus
16/02/2025,181.15,Expense,Entertainment
17/02/2025,134.87,Expense,Education
18/02/2025,223.12,Expense,Groceries
20/02/2025,132.17,Expense,Transport
23/02/2025,512.03,Income,Freelance
24/02/2025,144.5,Expense,Utilities
25/02/2025,789.52,Income,Bonus
25/02/2025,95.62,Expense,Healthcare
01/03/2025,34.13,Expense,Transport
03/03/2025,190.93,Expense,Rent
07/03/2025,587.15,Income,Bonus
08/03/2025,143.84,Expense,Entertainment
09/03/2025,71.1,Expense,Rent
14/03/2025,206.53,Expense,Education
15/03/2025,130.24,Expense,Utilities
16/03/2025,190.97,Expense,Rent
18/03/2025,69.81,Expense,Utilities
22/03/2025,218.21,Expense,Healthcare
23/03/2025,151.34,Expense,Rent
24/03/2025,210.2,Expense,Utilities
25/03/2025,79.56,Expense,Healthcare
26/03/2025,264.16,Expense,Transport
29/03/2025,237.11,Expense,Rent
30/03/2025,297.25,Expense,Healthcare
02/04/2025,296.42,Expense,Utilities
04/04/2025,65.23,Expense,Groceries
05/04/2025,67.4,Expense,Healthcare
06/04/2025,217.04,Expense,Education
